word,frequency
committee,213
inflation,144
percent,74
economic,68
policy,68
rate,64
monetary,61
risk,56
range,55
appropriate,49
goal,44
security,43
information,43
continue,41
agency,40
remains,39
stance,38
outlook,38
target,37
employment,32
activity,31
incoming,30
recent,29
condition,29
fund,28
federal,28
financial,28
development,27
take,26
account,26
implication,25
objective,24
maximum,23
market,22
labor,22
treasury,21
holding,21
balance,20
reducing,20
monitor,20
debt,20
mortgagebacked,20
pace,19
elevated,19
international,18
strongly,18
committed,18
returning,18
reading,18
expectation,18
assessing,18
pressure,18
attainment,18
including,18
wide,18
would,18
prepared,18
could,18
assessment,18
impede,18
adjust,18
emerge,18
unemployment,18
low,18
seek,18
achieve,18
extent,18
longer,18
run,18
decided,18
attentive,18
assess,17
additional,17
indicator,17
support,17
uncertain,16
suggest,15
remained,15
toward,14
job,14
gain,14
addition,13
maintain,13
year,13
solid,13
highly,12
month,11
previously,10
announced,10
plan,10
data,10
described,10
evolving,10
carefully,10
adjustment,10
considering,10
achieving,9
judge,9
strong,9
expand,9
continued,9
eased,9
cumulative,8
tightening,8
lag,8
return,8
affect,8
time,8
moving,8
past,8
determining,8
sound,7
credit,7
progress,7
tighter,7
likely,7
resilient,7
u,7
banking,7
system,7
business,7
household,7
may,7
effect,7
hiring,7
weigh,7
somewhat,7
firming,7
greater,6
confidence,6
sustainably,6
gained,6
billion,6
remain,6
dual,6
mandate,6
moved,6
side,6
point,5
robust,5
supporting,5
since,5
modest,5
cap,5
better,5
expect,5
reduce,5
roughly,4
moderated,4
expanding,4
earlier,4
raise,4
monthly,4
redemption,4
percentage,3
slowed,3
timing,3
lower,3
quarter,3
made,3
growth,3
increase,3
expanded,2
closely,2
restrictive,2
sufficiently,2
attain,2
order,2
future,2
decline,2
third,2
level,2
anticipates,2
slow,2
beginning,2
generally,2
spending,2
uncertainty,2
production,2
stabilized,2
first,1
around,1
june,1
steady,1
increased,1
meeting,1
april,1
allows,1
early,1
last,1
moderate,1
lack,1
ongoing,1
result,1
reinvest,1
global,1
contributing,1
hardship,1
human,1
tremendous,1
causing,1
ukraine,1
war,1
russia,1
picked,1
running,1
light,1
move,1
excess,1
payment,1
principal,1
